Airport,total_flights,delay_rate,avg_delay,avg_temp,avg_wind,avg_precip,lat,lon,country,continent
ABE,4247,0.16058394160583941,12.120555686366847,13.007723098657877,10.358865081233812,0.10937132093242288,40.651773,-75.442797,US,
ABI,1741,0.15680643308443423,7.261344055140723,20.22705341757611,16.27421022400919,0.04250430786904078,32.41130066,-99.68190002,US,
ABQ,23839,0.17496539284365956,9.418599773480432,16.78754142371744,9.866110155627334,0.018713033264818157,35.039976,-106.608925,US,
ABR,722,0.16897506925207756,19.29501385041551,9.436980609418283,14.328393351800555,0.05346260387811635,45.44910049,-98.42179871,US,
ABY,757,0.190224570673712,17.26552179656539,19.853896961690886,10.460634081902246,0.15918097754293262,31.532946,-84.196215,US,
ACK,1581,0.19924098671726756,13.177735610373182,18.666223908918404,22.25224541429475,0.06122707147375079,41.25310135,-70.06020355,US,
ACT,1060,0.21226415094339623,15.510377358490565,20.983584905660376,12.88122641509434,0.11018867924528301,31.61129951,-97.23049927,US,
ACV,1701,0.19753086419753085,19.856554967666078,13.329512051734273,12.06984126984127,0.27918871252204586,40.978101,-124.109,US,
ACY,2983,0.1884009386523634,8.947703654039557,14.238216560509553,12.257827690244719,0.11984579282601408,39.456201,-74.577511,US,
ADK,96,0.17708333333333334,-6.0625,5.847916666666666,21.902083333333334,0.19895833333333335,51.883564,-176.642783,US,
ADQ,799,0.1476846057571965,2.6595744680851063,5.870588235294118,14.012140175219026,0.31364205256570715,57.75,-152.4940033,US,
AEX,1931,0.16778871051268773,16.688762299326775,20.97099948213361,9.748316934230969,0.16587260486794408,31.325828,-92.546702,US,
AGS,3929,0.20208704504963096,17.57826418936116,19.853346907610078,10.23715958259099,0.14286077882412826,33.3699,-81.9645,US,
AKN,177,0.13559322033898305,-6.344632768361582,13.133898305084745,15.687570621468925,0.11355932203389832,58.677845,-156.651965,US,
ALB,11851,0.18951987174078136,12.822377858408574,12.235693190448064,9.66674542232723,0.12231879166315078,42.748299,-73.801697,US,
ALW,526,0.09315589353612168,0.19771863117870722,14.649429657794677,9.502471482889733,0.042395437262357415,46.09489822,-118.288002,US,
AMA,5008,0.1647364217252396,9.238817891373802,18.09341054313099,18.15343450479233,0.059165335463258785,35.217857,-101.706444,US,
ANC,18211,0.1619900060403053,6.128603591236066,5.628592608862776,10.879166437867223,0.10323980012080611,61.179004,-149.992561,US,
APN,609,0.17733990147783252,16.036124794745483,11.84991789819376,12.335303776683087,0.09852216748768473,45.0780983,-83.56030273,US,
ASE,7307,0.3028602709730395,25.933488435746543,7.737334063227042,6.166840016422608,0.05114273983851102,39.223202,-106.869003,US,
ATL,337662,0.19692473538627384,10.970390508852047,18.63886223501608,12.355902944364482,0.16750270981040213,33.6367,-84.428101,US,
ATW,6134,0.1781871535702641,15.689598956635148,10.016106944897293,13.830241278121942,0.07971959569611999,44.258515,-88.519,US,
AUS,84296,0.22581142640220175,14.651110372971434,23.23674670209737,13.13521756666983,0.14514567713770524,30.197535,-97.662015,US,
AVL,11654,0.2279903895658143,16.029603569589842,15.96321434700532,9.541633773811567,0.13443452891711,35.435488,-82.541853,US,
AVP,1568,0.20535714285714285,19.70280612244898,11.163329081632652,8.804336734693878,0.09591836734693877,41.337064,-75.724232,US,
AZA,5827,0.13712030204221726,4.353011841427836,24.279200274583832,8.322927750128711,0.016251930667581946,33.3078,-111.654999,US,
AZO,989,0.14762386248736098,11.093023255813954,12.015470171890797,13.3319514661274,0.12275025278058646,42.232105,-85.549637,US,
BDL,21946,0.19324706096783012,12.285564567574957,12.388161851818097,9.668345028706826,0.1275767793675385,41.938555,-72.688016,US,
BET,718,0.24930362116991645,8.409470752089137,1.3920612813370474,19.484679665738163,0.0979108635097493,60.77980042,-161.8379974,US,
BFF,610,0.11967213114754098,9.968852459016393,13.765573770491804,14.262459016393443,0.024098360655737706,41.87400055,-103.5960007,US,
BFL,2653,0.12740294006784772,6.86204297022239,20.371202412363363,6.716245759517528,0.03577082548058801,35.433601,-119.056999,US,
BGM,354,0.10734463276836158,12.290960451977401,7.59180790960452,10.165819209039547,0.11355932203389832,42.20869827,-75.97979736,US,
BGR,4466,0.16569637259292433,11.261755485893417,13.294446932377967,10.663793103448276,0.13007165248544558,44.806364,-68.826668,US,
BHM,16980,0.17938751472320377,11.59693757361602,18.646702002355713,10.76206124852768,0.14862779740871612,33.562877,-86.750712,US,
BIH,252,0.29365079365079366,19.936507936507937,17.38888888888889,7.781349206349207,0.010317460317460317,37.3731,-118.363998,US,
BIL,4107,0.12904796688580472,6.022887752617482,12.043584124665205,10.99737034331629,0.04282931580228878,45.808932,-108.541242,US,
BIS,3926,0.16556291390728478,11.155629139072847,8.961207335710647,14.18173713703515,0.05511971472236373,46.772734,-100.746874,US,
BJI,723,0.16874135546334718,15.832641770401107,7.306362378976487,13.598893499308437,0.09930843706777316,47.50939941,-94.93370056,US,
