Airline,Origin,Dest,typical_distance
9E,ABE,ATL,692.0
9E,ABY,ATL,145.0
9E,AEX,ATL,500.0
9E,AGS,ATL,143.0
9E,AGS,AUS,949.0
9E,AGS,DCA,468.0
9E,AGS,DTW,615.0
9E,AGS,JFK,675.0
9E,AGS,LGA,678.0
9E,ALB,DTW,489.0
9E,ALB,LGA,136.0
9E,ATL,ABE,692.0
9E,ATL,ABY,145.0
9E,ATL,AEX,500.0
9E,ATL,AGS,143.0
9E,ATL,ATW,765.0
9E,ATL,AUS,813.0
9E,ATL,AVL,164.0
9E,ATL,BHM,134.0
9E,ATL,BMI,533.0
9E,ATL,BNA,214.0
9E,ATL,BQK,238.0
9E,ATL,BTR,448.0
9E,ATL,CAE,192.0
9E,ATL,CHA,106.0
9E,ATL,CHO,457.0
9E,ATL,CID,694.0
9E,ATL,CLT,226.0
9E,ATL,CRW,363.0
9E,ATL,CSG,83.0
9E,ATL,CVG,373.0
9E,ATL,DAY,432.0
9E,ATL,DHN,170.0
9E,ATL,DSM,743.0
9E,ATL,ECP,240.0
9E,ATL,EVV,350.0
9E,ATL,EYW,646.0
9E,ATL,FAY,331.0
9E,ATL,FSD,954.0
9E,ATL,FWA,508.0
9E,ATL,GNV,300.0
9E,ATL,GPT,352.0
9E,ATL,GSO,306.0
9E,ATL,GSP,153.0
9E,ATL,GTR,241.0
9E,ATL,HPN,780.0
9E,ATL,HSV,151.0
9E,ATL,ICT,782.0
9E,ATL,ILM,377.0
9E,ATL,JAN,341.0
9E,ATL,LEX,304.0
9E,ATL,LFT,503.0
9E,ATL,LIT,453.0
9E,ATL,MDT,620.0
9E,ATL,MEM,332.0
9E,ATL,MGM,147.0
9E,ATL,MLI,633.0
9E,ATL,MLU,448.0
9E,ATL,MOB,302.0
9E,ATL,MSN,707.0
9E,ATL,MSP,907.0
9E,ATL,OAJ,399.0
9E,ATL,OKC,761.0
9E,ATL,PNS,271.0
9E,ATL,RDU,356.0
9E,ATL,ROA,357.0
9E,ATL,SBN,566.0
9E,ATL,SGF,563.0
9E,ATL,SHV,551.0
9E,ATL,TLH,223.0
9E,ATL,TRI,227.0
9E,ATL,TUL,674.0
9E,ATL,TYS,152.0
9E,ATL,VLD,208.0
9E,ATL,VPS,250.0
9E,ATL,XNA,589.0
9E,ATW,ATL,765.0
9E,ATW,DTW,296.0
9E,ATW,MSP,236.0
9E,AUS,AGS,949.0
9E,AUS,CVG,958.0
9E,AUS,GNV,924.0
9E,AUS,MSP,1042.0
9E,AUS,RDU,1162.0
9E,AUS,XNA,462.0
9E,AVL,ATL,164.0
9E,AVL,LGA,599.0
9E,AZO,DTW,113.0
9E,BDL,DTW,549.0
9E,BDL,LGA,101.0
9E,BDL,MSP,1050.0
9E,BGM,DTW,378.0
9E,BGM,LGA,147.0
9E,BGR,JFK,382.0
9E,BGR,LGA,378.0
9E,BHM,ATL,134.0
9E,BHM,DTW,625.0
9E,BHM,LGA,866.0
9E,BIS,MSP,386.0
9E,BMI,ATL,533.0
9E,BNA,ATL,214.0
9E,BNA,EYW,849.0
9E,BNA,JFK,765.0
9E,BNA,LGA,764.0
9E,BNA,RDU,442.0
9E,BOS,CVG,752.0
9E,BQK,ATL,238.0
9E,BTR,ATL,448.0
9E,BTV,DTW,537.0
9E,BTV,JFK,266.0
9E,BTV,LGA,258.0
9E,BUF,DTW,241.0
9E,BUF,JFK,301.0
9E,BUF,LGA,292.0
9E,BWI,JFK,184.0
9E,CAE,ATL,192.0
9E,CAE,LGA,617.0
9E,CAE,OKC,943.0
9E,CHA,ATL,106.0
9E,CHA,DTW,505.0
9E,CHA,LGA,734.0
9E,CHO,ATL,457.0
9E,CHO,LGA,305.0
9E,CHS,DTW,667.0
9E,CHS,JFK,636.0
9E,CHS,LGA,641.0
9E,CHS,MSP,1087.0
9E,CID,ATL,694.0
9E,CID,DTW,430.0
9E,CID,MSP,220.0
9E,CLE,DTW,95.0
9E,CLE,JFK,425.0
9E,CLE,LGA,419.0
9E,CLE,MSP,622.0
9E,CLT,ATL,226.0
9E,CLT,DTW,500.0
9E,CLT,JFK,541.0
9E,CLT,LGA,544.0
9E,CLT,MSP,930.0
9E,CMH,DTW,155.0
9E,CMH,JFK,483.0
9E,CMH,LGA,479.0
9E,CMH,MSP,626.0
9E,CRW,ATL,363.0
9E,CSG,ATL,83.0
9E,CVG,ATL,373.0
9E,CVG,AUS,958.0
9E,CVG,BOS,752.0
9E,CVG,DCA,411.0
9E,CVG,DTW,229.0
9E,CVG,EWR,569.0
9E,CVG,FLL,932.0
9E,CVG,JFK,589.0
9E,CVG,LGA,585.0
9E,CVG,MSP,596.0
9E,CVG,RDU,390.0
9E,CVG,RSW,879.0
9E,CVG,TPA,773.0
9E,CWA,MSP,175.0
9E,DAY,ATL,432.0
9E,DAY,LGA,549.0
9E,DCA,AGS,468.0
9E,DCA,CVG,411.0
9E,DCA,DTW,405.0
9E,DCA,JFK,213.0
9E,DCA,MSP,931.0
9E,DCA,RDU,227.0
9E,DFW,JFK,1391.0
9E,DHN,ATL,170.0
9E,DLH,MSP,144.0
9E,DSM,ATL,743.0
9E,DSM,DTW,533.0
9E,DSM,LGA,1031.0
9E,DSM,MSP,232.0
9E,DTW,AGS,615.0
9E,DTW,ALB,489.0
9E,DTW,ATW,296.0
