id,ident,iata_code,name,latitude_deg,longitude_deg,continent,iso_country,iso_region,municipality,local_code
6924,07FA,OCA,Ocean Reef Club Airport,25.325399,-80.274803,,US,US-FL,Key Largo,07FA
12243,5A8,WKK,Aleknagik / New Airport,59.2826004,-158.6179962,,US,US-AK,Aleknagik,5A8
336537,AG-0001,BBQ,Burton-Nibbs International Airport,17.621194,-61.798347,,AG,AG-10,Codrington,
3,AGGH,HIR,Honiara International Airport,-9.428,160.054993,OC,SB,SB-GU,Honiara,
4,AGGM,MUA,Munda Airport,-8.32797,157.263,OC,SB,SB-WE,Munda,
8,ANYN,INU,Nauru International Airport,-0.547893,166.919525,OC,NR,NR-14,Yaren,
601314,AT98,WFR,[Duplicate] Wolf's Fang Runway,-71.5264,8.799459,AN,AQ,AQ-U-A,Queen Maud Island,
314558,AXF,AXF,Alxa Left Banner Bayanhot Airport,38.748317,105.58416,AS,CN,CN-15,Bayanhot,
35179,AYBA,VMU,Baimuru Airport,-7.496955,144.821756,OC,PG,PG-GPK,Baimuru,BMU
53,AYBK,BUA,Buka Airport,-5.422299,154.672698,OC,PG,PG-NSB,Buka Island,
35180,AYBM,OPU,Balimo Airport,-8.050000191,142.9329987,OC,PG,PG-WPD,Balimo,BLI
54,AYCH,CMU,Chimbu Airport,-6.024290085,144.970993,OC,PG,PG-CPK,Kundiawa,
55,AYDU,DAU,Daru Airport,-9.08676,143.207993,OC,PG,PG-WPD,Daru,
56,AYGA,GKA,Goroka Airport,-6.081689835,145.3919983,OC,PG,PG-EHG,Goronka,
57,AYGN,GUR,Gurney Airport,-10.3114996,150.3339996,OC,PG,PG-MBA,Gurney,
58,AYGR,PNP,Girua Airport,-8.80453968,148.3090057,OC,PG,PG-NPP,Popondetta,
59,AYHK,HKN,Hoskins Airport,-5.463846,150.407327,OC,PG,PG-WBK,Kimbe,
60,AYKM,KMA,Kerema Airport,-7.963610172,145.7709961,OC,PG,PG-GPK,Kerema,
61,AYKV,KVG,Kavieng Airport,-2.579400063,150.8079987,OC,PG,PG-NIK,Kavieng,
62,AYMD,MAG,Madang Airport,-5.207079887,145.7890015,OC,PG,PG-MPM,Madang,
63,AYMH,HGU,Mount Hagen Kagamuga Airport,-5.828212,144.299412,OC,PG,PG-WHM,Mount Hagen,
64,AYMN,MDU,Mendi Airport,-6.14774,143.656998,OC,PG,PG-SHM,Mendi,
65,AYMO,MAS,Momote Airport,-2.06189,147.423996,OC,PG,PG-MRL,Manus Island,
66,AYNZ,LAE,Nadzab Tomodachi International Airport,-6.567995,146.726544,OC,PG,PG-MPL,Lae,
